chr	start	end
m_chr1_213	chr1	286269901	286364276
m_chr1_214	chr1	289315351	289415717
m_chr1_215	chr1	289638484	290071319
m_chr1_216	chr1	290072991	291152451
m_chr1_217	chr1	291240776	291555057
m_chr1_218	chr1	292345469	292783729
m_chr1_219	chr1	292809459	294872124
m_chr1_220	chr1	301309733	310845611
m_chr1_221	chr1	312739133	313348126
m_chr1_222	chr1	317263988	318152849
m_chr1_223	chr1	320100316	320304356
m_chr1_224	chr1	320304656	320485330
m_chr1_225	chr1	321239906	323743523
m_chr1_226	chr1	325633194	327106887
m_chr1_227	chr1	327108078	327120375
m_chr1_228	chr1	327128028	327598427
m_chr1_229	chr1	327619672	327857377
m_chr1_230	chr1	327940312	328455969
m_chr1_231	chr1	330757708	336764907
m_chr2_1	chr2	13337	5327223
m_chr2_2	chr2	5454294	8121216
m_chr2_3	chr2	10997687	13576989
m_chr2_4	chr2	14775138	15213262
m_chr2_5	chr2	15225669	17051626
m_chr2_6	chr2	20045163	24145324
m_chr2_7	chr2	24226144	25131977
m_chr2_8	chr2	25132511	25168351
m_chr2_9	chr2	25208257	25530215
m_chr2_10	chr2	26794067	27660605
m_chr2_11	chr2	33301006	33304402
m_chr2_12	chr2	34281517	39763689
m_chr2_13	chr2	39763689	40211398
m_chr2_14	chr2	40212091	40544522
m_chr2_15	chr2	43708435	44497317
m_chr2_16	chr2	44833138	48460066
m_chr2_17	chr2	50490967	51271832
m_chr2_18	chr2	51274040	51816824
m_chr2_19	chr2	52441222	53121647
m_chr2_20	chr2	54478552	54507820
m_chr2_21	chr2	54686274	56157727
m_chr2_22	chr2	57934112	60338571
m_chr2_23	chr2	60599013	60662127
m_chr2_24	chr2	62713645	62865533
m_chr2_25	chr2	63328923	63545121
m_chr2_26	chr2	63546016	63717899
m_chr2_27	chr2	63720703	64079766
m_chr2_28	chr2	64080497	64084822
m_chr2_29	chr2	64085745	64136434
m_chr2_30	chr2	64200459	64587530
m_chr2_31	chr2	64699538	65885540
m_chr2_32	chr2	67417126	69396967
m_chr2_33	chr2	69408789	69419390
m_chr2_34	chr2	69674118	71036778
m_chr2_35	chr2	71051835	71465242
m_chr2_36	chr2	71472814	76668672
m_chr2_37	chr2	76725679	77411113
m_chr2_38	chr2	77414747	77721284
m_chr2_39	chr2	78891935	79081670
m_chr2_40	chr2	79679529	80178475
m_chr2_41	chr2	81693324	82139253
m_chr2_42	chr2	82164932	82230680
m_chr2_43	chr2	82232174	82774887
m_chr2_44	chr2	82775583	83332237
m_chr2_45	chr2	83334331	83517419
m_chr2_46	chr2	83518551	84385920
m_chr2_47	chr2	84392956	85088752
m_chr2_48	chr2	85094524	88888691
m_chr2_49	chr2	88897424	89137811
m_chr2_50	chr2	89640852	96791438
m_chr2_51	chr2	97785329	98244256
m_chr2_52	chr2	98277582	98958321
m_chr2_53	chr2	99150585	100942419
m_chr2_54	chr2	101008328	101289822
m_chr2_55	chr2	101341900	103117914
m_chr2_56	chr2	104630498	105015864
m_chr2_57	chr2	106096039	107209380
m_chr2_58	chr2	107689477	109011279
m_chr2_59	chr2	109043310	109668581
m_chr2_60	chr2	110202577	110243324
m_chr2_61	chr2	110244502	111729086
m_chr2_62	chr2	112281305	112788563
m_chr2_63	chr2	113113215	113926905
m_chr2_64	chr2	114875881	116886242
m_chr2_65	chr2	117767481	118214099
m_chr2_66	chr2	118217977	118264608
m_chr2_67	chr2	118264819	119168314
m_chr2_68	chr2	119168916	119183007
m_chr2_69	chr2	119262762	121346455
m_chr2_70	chr2	121356674	121937890
m_chr2_71	chr2	121950272	122210653
m_chr2_72	chr2	122212256	124028637
m_chr2_73	chr2	124041673	124505679
m_chr2_74	chr2	125016197	125646914
m_chr2_75	chr2	125647000	125679727
m_chr2_76	chr2	125680354	125741118
m_chr2_77	chr2	125743172	125814634
m_chr2_78	chr2	125819511	125931875
m_chr2_79	chr2	126007059	126135453
m_chr2_80	chr2	126723482	127193806
m_chr2_81	chr2	127194723	127249179
m_chr2_82	chr2	127249875	127422549
m_chr2_83	chr2	127427397	127856881
m_chr2_84	chr2	127928627	128699293
m_chr2_85	chr2	128699694	128740708
m_chr2_86	chr2	128769059	129313052
m_chr2_87	chr2	129315669	129508159
m_chr2_88	chr2	129508887	130146508
m_chr2_89	chr2	130175669	130189630
m_chr2_90	chr2	130189716	130220461
m_chr2_91	chr2	130221001	130232327
m_chr2_92	chr2	130322537	130366833
m_chr2_93	chr2	130371632	130489966
m_chr2_94	chr2	130490914	133233059
m_chr2_95	chr2	133277702	133481123
m_chr2_96	chr2	133481426	137552720
m_chr2_97	chr2	137562588	137573433
m_chr2_98	chr2	137642292	137998945
m_chr2_99	chr2	138875671	139118252
m_chr2_100	chr2	139118543	139312626
m_chr2_101	chr2	139313052	139438669
m_chr2_102	chr2	139458836	139960301
m_chr2_103	chr2	139962528	140660500
m_chr2_104	chr2	140715189	141556745
m_chr2_105	chr2	141558912	142291618
m_chr2_106	chr2	142540756	143375050
m_chr2_107	chr2	145030619	145104172
m_chr2_108	chr2	145108060	145247677
m_chr2_109	chr2	145267958	145705919
m_chr2_110	chr2	145722013	145763873
m_chr2_111	chr2	145766481	145771325
m_chr2_112	chr2	145782367	146721472
m_chr2_113	chr2	146736469	146742627
m_chr2_114	chr2	146742847	146836411
m_chr2_115	chr2	148906861	149202764
m_chr2_116	chr2	149974696	150571734
m_chr2_117	chr2	150573249	152007396
m_chr2_118	chr2	152009575	152139370
m_chr2_119	chr2	152139936	152159534
m_chr2_120	chr2	152178931	152428253
m_chr2_121	chr2	152462079	153112764
m_chr2_122	chr2	153140942	154538609
m_chr2_123	chr2	154563889	155104094
m_chr2_124	chr2	155327950	155775556
m_chr2_125	chr2	155777570	156004260
m_chr2_126	chr2	156339694	156444950
m_chr2_127	chr2	156445033	156497723
m_chr2_128	chr2	156498143	158382445
m_chr2_129	chr2	158408145	158485840
m_chr2_130	chr2	158492106	158530844
m_chr2_131	chr2	158581650	158736982
m_chr2_132	chr2	158737522	160092663
m_chr2_133	chr2	160094317	160098335
m_chr2_134	chr2	160098538	161811784
m_chr2_135	chr2	161829578	164437675
m_chr2_136	chr2	164439848	165143635
m_chr2_137	chr2	165144183	165146784
m_chr2_138	chr2	165155587	165727005
m_chr2_139	chr2	166260099	167704555
m_chr2_140	chr2	167707031	167902233
m_chr2_141	chr2	167953001	169578213
m_chr2_142	chr2	169595907	171110269
m_chr2_143	chr2	171110732	173177210
m_chr2_144	chr2	173190523	173382525
m_chr2_145	chr2	173383144	177133953
m_chr2_146	chr2	177134430	178187641
m_chr2_147	chr2	178519429	180276744
m_chr2_148	chr2	180472542	180534743
m_chr2_149	chr2	180669065	181377267
m_chr2_150	chr2	181831909	182459311
m_chr2_151	chr2	182697862	183885759
m_chr2_152	chr2	184609955	184841471
m_chr2_153	chr2	184844774	185268713
m_chr2_154	chr2	185338436	185439557
m_chr2_155	chr2	185612082	186115506
m_chr2_156	chr2	186126891	186312598
m_chr2_157	chr2	188323673	189593527
m_chr2_158	chr2	189710502	190459125
m_chr2_159	chr2	191204745	191619821
m_chr2_160	chr2	191625008	191843256
m_chr2_161	chr2	191848242	192210933
m_chr2_162	chr2	192524066	192819361
m_chr2_163	chr2	192862095	192891117
m_chr2_164	chr2	192894153	194761476
m_chr2_165	chr2	194802950	196663675
m_chr2_166	chr2	196664549	197438893
m_chr2_167	chr2	197438958	198579987
m_chr2_168	chr2	198583642	199452593
m_chr2_169	chr2	199455284	199503537
m_chr2_170	chr2	199507251	199529351
m_chr2_171	chr2	199543092	202741071
m_chr2_172	chr2	203013614	203344871
m_chr2_173	chr2	203392100	203678012
m_chr2_174	chr2	203810563	206098214
m_chr2_175	chr2	206375171	206428532
m_chr2_176	chr2	206756834	208314844
m_chr2_177	chr2	208315069	209341692
m_chr2_178	chr2	209359422	209484439
m_chr2_179	chr2	209484980	209684953
m_chr2_180	chr2	209706629	210446235
m_chr2_181	chr2	210448835	212387435
m_chr2_182	chr2	212571212	212769539
m_chr2_183	chr2	212814730	213607153
m_chr2_184	chr2	213929333	214972490
m_chr2_185	chr2	214996545	215251011
m_chr2_186	chr2	215260305	217803275
m_chr2_187	chr2	218371966	218544887
m_chr2_188	chr2	218546043	219810992
m_chr2_189	chr2	219815182	220282203
m_chr2_190	chr2	220283238	221802949
m_chr2_191	chr2	222127169	222374362
m_chr2_192	chr2	222383596	224034929
m_chr2_193	chr2	224329060	227468952
m_chr2_194	chr2	227497448	227579901
m_chr2_195	chr2	227585183	229028352
m_chr2_196	chr2	229028415	229050475
m_chr2_197	chr2	229086507	231604158
m_chr2_198	chr2	231609910	233561271
m_chr2_199	chr2	233630829	233704417
m_chr2_200	chr2	233707507	233771256
m_chr2_201	chr2	233962846	234654606
m_chr2_202	chr2	235102508	236316471
m_chr2_203	chr2	237070437	240855100
m_chr2_204	chr2	241261062	242495557
m_chr2_205	chr2	242520658	242534695
m_chr2_206	chr2	242553525	243126403
m_chr2_207	chr2	243127057	244220252
m_chr2_208	chr2	244221110	244227403
m_chr2_209	chr2	244232098	245328857
m_chr2_210	chr2	245334688	246253238
m_chr2_211	chr2	246530696	246786869
m_chr2_212	chr2	246806612	248508392
m_chr2_213	chr2	248513297	249806929
m_chr2_214	chr2	249820997	250319310
m_chr2_215	chr2	250321493	251098210
m_chr2_216	chr2	251112766	251915396
m_chr2_217	chr2	252686436	256818179
m_chr2_218	chr2	256900111	257231362
m_chr2_219	chr2	257433357	258670616
m_chr2_220	chr2	259128918	260698607
m_chr2_221	chr2	260763096	262372146
m_chr2_222	chr2	263895075	265361470
m_chr2_223	chr2	265384148	265894931
m_chr2_224	chr2	265936570	266104583
m_chr2_225	chr2	266131740	266756338
m_chr2_226	chr2	267087051	267300628
m_chr2_227	chr2	268131435	268322603
m_chr2_228	chr2	268324484	269550929
m_chr2_229	chr2	269647063	269785656
m_chr2_230	chr2	269882458	270065879
m_chr2_231	chr2	270220326	270387028
m_chr2_232	chr2	270389003	270915464
m_chr2_233	chr2	271073803	273055505
m_chr2_234	chr2	273059099	273357349
m_chr2_235	chr2	274102669	275651127
m_chr2_236	chr2	276182517	277227793
m_chr2_237	chr2	280388306	280926600
m_chr2_238	chr2	280977467	282063172
m_chr3_1	chr3	1	124934
m_chr3_2	chr3	210459	1995136
m_chr3_3	chr3	2887265	3528414
m_chr3_4	chr3	4033184	5208752
m_chr3_5	chr3	6682358	7551827
m_chr3_6	chr3	7721047	7761237
m_chr3_7	chr3	7798616	8011899
m_chr3_8	chr3	8073366	10393661
m_chr3_9	chr3	11556223	11628283
m_chr3_10	chr3	12883994	13799325
m_chr3_11	chr3	13804748	14599043
m_chr3_12	chr3	18477630	19484721
m_chr3_13	chr3	20189774	21918147
m_chr3_14	chr3	22684797	23659205
m_chr3_15	chr3	24122961	24433401
m_chr3_16	chr3	24469516	24485840
m_chr3_17	chr3	24536896	24754308
m_chr3_18	chr3	25328600	25569983
m_chr3_19	chr3	25643486	26183409
m_chr3_20	chr3	26796943	27711733
m_chr3_21	chr3	27724738	29718564
m_chr3_22	chr3	30668780	31361186
m_chr3_23	chr3	31705990	31922522
m_chr3_24	chr3	32096499	32737357
m_chr3_25	chr3	35527788	35640182
m_chr3_26	chr3	35640271	36263640
m_chr3_27	chr3	36269246	37864333
m_chr3_28	chr3	37872213	38198037
m_chr3_29	chr3	38224971	38387220
m_chr3_30	chr3	38387934	41359955
m_chr3_31	chr3	41362761	41695323
m_chr3_32	chr3	41700260	46500923
m_chr3_33	chr3	46735099	47204283
m_chr3_34	chr3	48043952	48558398
m_chr3_35	chr3	48810215	49232748
m_chr3_36	chr3	49276208	51522227
m_chr3_37	chr3	51534287	51951175
m_chr3_38	chr3	51988456	54043026
m_chr3_39	chr3	54492984	55443416
m_chr3_40	chr3	55445231	56133383
m_chr3_41	chr3	56142812	56157628
m_chr3_42	chr3	56161090	58170656
m_chr3_43	chr3	58191539	58376702
m_chr3_44	chr3	58403312	60783797
m_chr3_45	chr3	60789401	61120357
m_chr3_46	chr3	61120482	63463210
m_chr3_47	chr3	63480348	66334172
m_chr3_48	chr3	67230726	67592191
m_chr3_49	chr3	67623314	69045185
m_chr3_50	chr3	69177097	71369662
m_chr3_51	chr3	71381846	72254168
m_chr3_52	chr3	72254470	72254749
m_chr3_53	chr3	72255219	72790167
m_chr3_54	chr3	73118184	73435786
m_chr3_55	chr3	73505224	73535873
m_chr3_56	chr3	73561326	74642994
m_chr3_57	chr3	74658569	75029613
m_chr3_58	chr3	75043640	77992530
m_chr3_59	chr3	78924553	81170507
m_chr3_60	chr3	81188471	82287754
m_chr3_61	chr3	82346828	83236704
m_chr3_62	chr3	83274906	83413835
m_chr3_63	chr3	83414103	84456894
m_chr3_64	chr3	84543415	84580149
m_chr3_65	chr3	84709707	85858262
m_chr3_66	chr3	86380176	86441232
m_chr3_67	chr3	86452610	87997425
m_chr3_68	chr3	88027817	88455985
m_chr3_69	chr3	88618548	89576292
m_chr3_70	chr3	89833723	90881573
m_chr3_71	chr3	91046601	91401878
m_chr3_72	chr3	91404820	92584040
m_chr3_73	chr3	92586217	93702737
m_chr3_74	chr3	93846764	94436068
m_chr3_75	chr3	94559317	94848351
m_chr3_76	chr3	95040774	97845533
m_chr3_77	chr3	97947631	100185035
m_chr3_78	chr3	100187407	101597643
m_chr3_79	chr3	101691414	102085129
m_chr3_80	chr3	102106897	104006425
m_chr3_81	chr3	104032858	107627726
m_chr3_82	chr3	108681055	108957776
m_chr3_83	chr3	109105564	110242371
m_chr3_84	chr3	110378646	110743137
m_chr3_85	chr3	111005402	111045343
m_chr3_86	chr3	111074329	111341548
m_chr3_87	chr3	111487134	112489931
m_chr3_88	chr3	114359576	114963937
m_chr3_89	chr3	115175745	115485760
m_chr3_90	chr3	115488688	115753681
m_chr3_91	chr3	115756540	115930877
m_chr3_92	chr3	116959671	120840432
m_chr3_93	chr3	124001911	124843183
m_chr3_94	chr3	124910446	128687117
m_chr3_95	chr3	128688110	129695899
m_chr3_96	chr3	129697650	130183716
m_chr3_97	chr3	130188709	130206483
m_chr3_98	chr3	130478059	131914774
m_chr3_99	chr3	131985785	133521990
m_chr3_100	chr3	133583458	135041289
m_chr3_101	chr3	135042931	137835539
m_chr3_102	chr3	137847735	138129825
m_chr3_103	chr3	138165823	139026677
m_chr3_104	chr3	139636910	139999109
m_chr3_105	chr3	140110096	145039876
m_chr3_106	chr3	145144050	145707809
m_chr3_107	chr3	146142277	146214361
m_chr3_108	chr3	146547754	147508232
m_chr3_109	chr3	147558403	148043975
m_chr3_110	chr3	148044098	150884460
m_chr3_111	chr3	150941972	151106116
m_chr3_112	chr3	151124075	151484886
m_chr3_113	chr3	151519559	152526559
m_chr3_114	chr3	152531360	152605533
m_chr3_115	chr3	152606290	153902415
m_chr3_116	chr3	155595892	155989542
m_chr3_117	chr3	156142640	156428717
m_chr3_118	chr3	156482545	156561029
m_chr3_119	chr3	156564216	156924017
m_chr3_120	chr3	157671504	158648674
m_chr3_121	chr3	158658640	158919719
m_chr3_122	chr3	161149176	162848382
m_chr3_123	chr3	162959101	162978635
m_chr3_124	chr3	162978981	164541594
m_chr3_125	chr3	165650623	167301993
m_chr3_126	chr3	168721068	169487828
m_chr3_127	chr3	169500524	174399249
m_chr3_128	chr3	176261194	180077769
m_chr3_129	chr3	180078387	180241019
m_chr3_130	chr3	180241971	182194823
m_chr3_131	chr3	183451507	184003568
m_chr3_132	chr3	184004959	184094117
m_chr3_133	chr3	184113910	184799311
m_chr3_134	chr3	185323288	185503744
m_chr3_135	chr3	185784227	185964367
m_chr3_136	chr3	186019849	187240629
m_chr3_137	chr3	187831326	188593713
m_chr3_138	chr3	188811106	189088999
m_chr3_139	chr3	189100176	189797388
m_chr3_140	chr3	190020602	191246498
m_chr3_141	chr3	191247623	191819339
m_chr3_142	chr3	191823647	192516726
m_chr3_143	chr3	192520084	192976818
m_chr3_144	chr3	193130990	193829769
m_chr3_145	chr3	193866405	195709311
m_chr3_146	chr3	195747509	198695373
m_chr3_147	chr3	198715826	199582049
m_chr3_148	chr3	199585766	201003165
m_chr3_149	chr3	201132798	201139892
m_chr3_150	chr3	201202928	201342807
m_chr3_151	chr3	201369684	201704877
m_chr3_152	chr3	201842278	203147221
m_chr3_153	chr3	203163182	203849016
m_chr3_154	chr3	204094919	204339216
m_chr3_155	chr3	204340421	205131348
m_chr3_156	chr3	205475771	206136233
m_chr3_157	chr3	206325690	207200702
m_chr3_158	chr3	207271509	208004366
m_chr3_159	chr3	208641778	208941365
m_chr3_160	chr3	208988852	209141979
m_chr3_161	chr3	209582882	209971340
m_chr3_162	chr3	210010029	210478284
m_chr3_163	chr3	210501235	210928456
m_chr3_164	chr3	210978608	211700531
m_chr3_165	chr3	211719775	211729454
m_chr3_166	chr3	211779378	212745866
m_chr3_167	chr3	212830855	214000363
m_chr3_168	chr3	214332600	215161760
m_chr3_169	chr3	215171529	215237624
m_chr3_170	chr3	215238995	216127657
m_chr3_171	chr3	216129331	216557882
m_chr3_172	chr3	216559712	216647537
m_chr3_173	chr3	216669051	217145732
m_chr3_174	chr3	217146682	218064287
m_chr3_175	chr3	218078654	219138918
m_chr3_176	chr3	219152349	219637026
m_chr3_177	chr3	219637345	220857407
m_chr3_178	chr3	220860234	220917384
m_chr3_179	chr3	220919660	221530380
m_chr3_180	chr3	221555320	221870817
m_chr3_181	chr3	221883372	222427930
m_chr3_182	chr3	222519914	223271517
m_chr3_183	chr3	223320225	224650287
m_chr3_184	chr3	224651190	225299001
m_chr3_185	chr3	225302853	226015889
m_chr3_186	chr3	226109856	227519940
m_chr3_187	chr3	227587074	229336576
m_chr3_188	chr3	229357204	229660604
m_chr3_189	chr3	229727045	233432371
m_chr3_190	chr3	233467112	234037077
m_chr3_191	chr3	234052972	235999421
m_chr3_192	chr3	236169508	237237852
m_chr3_193	chr3	237238451	237586290
m_chr3_194	chr3	237872106	239353273
m_chr3_195	chr3	239491910	240743683
m_chr3_196	chr3	240746736	241650943
m_chr3_197	chr3	241653588	241884621
m_chr3_198	chr3	242161566	243422352
m_chr3_199	chr3	249440843	249833499
m_chr3_200	chr3	250024044	250414093
m_chr3_201	chr3	253306125	253715362
m_chr3_202	chr3	254177797	254662841
m_chr3_203	chr3	254674581	255327203
m_chr3_204	chr3	255327750	255446027
m_chr3_205	chr3	255448149	256193886
m_chr3_206	chr3	257090864	257531989
m_chr3_207	chr3	259683588	260054621
m_chr3_208	chr3	260258631	260963655
m_chr3_209	chr3	261003995	261106236
m_chr3_210	chr3	261275284	261747878
m_chr3_211	chr3	261861625	262372391
m_chr3_212	chr3	262618941	262895713
m_chr3_213	chr3	265072073	266574701
m_chr3_214	chr3	266677218	268761342
m_chr3_215	chr3	269190160	269454492
m_chr3_216	chr3	269994617	271896584
m_chr3_217	chr3	272974752	273084878
m_chr4_1	chr4	1	3871962
m_chr4_2	chr4	5703814	5710369
m_chr4_3	chr4	5826777	10178742
m_chr4_4	chr4	11026974	12479828
m_chr4_5	chr4	13109657	13367528
m_chr4_6	chr4	16103337	17265516
m_chr4_7	chr4	17359962	18607046
m_chr4_8	chr4	18912677	19800396
m_chr4_9	chr4	19817645	23855815
m_chr4_10	chr4	23856885	24037370
m_chr4_11	chr4	24048391	24160867
m_chr4_12	chr4	24367114	26557210
m_chr4_13	chr4	26572248	27501215
